parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
kf_alphaI_GDP__betaI_gammaI____alphaI_betaI_gammaI	kf_alphaI_GDP__betaI_gammaI____alphaI_betaI_gammaI	log10	0.00001	100000	99999.9999999947	1				
kf_alphaS_GDP__betaS_gammaS____alphaS_betaS_gammaS	kf_alphaS_GDP__betaS_gammaS____alphaS_betaS_gammaS	log10	0.00001	1000	0.0123377387200564	1				
kf_alphaS_betaS_gammaS	kf_alphaS_betaS_gammaS	log10	0.00001	1000	0.000804255369782896	1				
xi_alphaS_betaS_gammaS__fiveHT4_5HT	xi_alphaS_betaS_gammaS__fiveHT4_5HT	log10	0.00001	100000	192.00282203621	1				
kf_alphaI_betaI_gammaI	kf_alphaI_betaI_gammaI	log10	0.00001	1000	0.0358370726891974	1				
xi_alphaI_betaI_gammaI__MOR_DAMGO	xi_alphaI_betaI_gammaI__MOR_DAMGO	log10	0.00001	10000	7985.3417384379	1				
xi_alphaI_betaI_gammaI__MOR_Fentanyl	xi_alphaI_betaI_gammaI__MOR_Fentanyl	log10	0.00001	10000	7299.25166413426	1				
kf_alphaS_GTP__alphaS_GDP	kf_alphaS_GTP__alphaS_GDP	log10	0.00001	10000	35.9386848613971	1				
kf_alphaI_GTP__alphaI_GDP	kf_alphaI_GTP__alphaI_GDP	log10	0.00001	100000	99999.6558614698	1				
kf_AC_alphaI_GTP	kf_AC_alphaI_GTP	log10	0.00001	100000	1.04884117821156	1				
KD_AC_alphaI_GTP	KD_AC_alphaI_GTP	log10	0.00001	100000	6803.46404303783	1				
kf_AC_alphaS_GTP	kf_AC_alphaS_GTP	log10	0.00001	100000	87172.8437691597	1				
KD_AC_alphaS_GTP	KD_AC_alphaS_GTP	log10	0.00001	10000	0.510594203678212	1				
xi_AC_cAMP_alphaS_GTP	xi_AC_cAMP_alphaS_GTP	log10	0.00001	100000	99998.640647816	1				
s_pRII_LK041_39_MOR_Kinetic_Fentanyl_Fsk	s_pRII_LK041_39_MOR_Kinetic_Fentanyl_Fsk	log10	0.001	1000	1.05273810671359	1			parameterScaleNormal	0;0.1
s_pRII_LK023_21_MOR_Kinetik_DAMGO_Fsk	s_pRII_LK023_21_MOR_Kinetik_DAMGO_Fsk	log10	0.001	1000	1.07891508219905	1			parameterScaleNormal	0;0.1
s_pRII_LK15_150810_LK053_52_047_46_MOR_Kinetic_Fentanyl_5HT	s_pRII_LK15_150810_LK053_52_047_46_MOR_Kinetic_Fentanyl_5HT	log10	0.001	1000	1.06860354966433	1			parameterScaleNormal	0;0.1
s_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	s_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	log10	0.001	1000	1.67889740089349	1			parameterScaleNormal	0;0.1
s_pRII_LK020_18_LK014_12_MOR_Kinetik_DAMGO_5HT	s_pRII_LK020_18_LK014_12_MOR_Kinetik_DAMGO_5HT	log10	0.001	1000	1.05530650344924	1			parameterScaleNormal	0;0.1
s_pRII_JI09_140331_Drg270_267_TiM	s_pRII_JI09_140331_Drg270_267_TiM	log10	0.001	1000	1.1187329937947	1			parameterScaleNormal	0;0.1
b_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	b_pRII_LK15_150727_LK051_48_MOR_Kinetic_10min_Fentanyl_Fsk	log10	0.00001	1	1.42548705125182E-05	1				
