conditionId	conditionName	Fsk_level	Fsk_time	H89_level	H89_time	IBMX_level	IBMX_time	Rp8_Br_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_pCPT_cAMPS_pAB_time	Rp_cAMPS_pAB_level	Rp_cAMPS_pAB_time	Sp8_Br_cAMPS_AM_level	Sp8_Br_cAMPS_AM_time	fourABnOH_level	fourABnOH_time	Fentanyl_level	Fentanyl_time	DAMGO_level	DAMGO_time	fiveHT_level	fiveHT_time
model1_data14	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	30	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_1	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_2	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_3	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	36	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_4	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_5	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	40	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_6	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0	0	0	0	0	0	0
model1_data14_7	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	45	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15_1	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	47	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15_2	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	49	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15_3	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	51	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15_4	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	53	0	0	0	0	0	0	0	0	0	0	0	0
model1_data15_5	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0	0	0	0
model1_data16	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	0	0	0	0
model1_data16_1	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	56	0	0	0	0	0	0	0	0	0	0	0	0
model1_data16_2	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	57	0	0	0	0	0	0	0	0	0	0	0	0
model1_data16_3	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	58	0	0	0	0	0	0	0	0	0	0	0	0
model1_data17	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0
model1_data18	JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	10	60	0	0	0	0	0	0	0	0	0	0	0	0
model1_data19	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
model1_data19_1	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	0.5	0	0	0	0	0	0	0	0	0	0
model1_data19_2	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0
model1_data19_3	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0
model1_data19_4	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0
model1_data19_5	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0
model1_data19_6	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0
model1_data19_7	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0
model1_data19_8	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0
model1_data19_9	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	0	0	0
model1_data20	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	30	0	0	0	0	0	0	0	0	0	0
model1_data20_1	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0
model1_data20_2	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0	0	0
model1_data20_3	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	0	0	0	0	0	0	0
model1_data20_4	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	0	0
model1_data20_5	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	40	0	0	0	0	0	0	0	0	0	0
model1_data20_6	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0	0	0	0	0
model1_data20_7	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	0	0	0	0	0
model1_data21	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	45	0	0	0	0	0	0	0	0	0	0
model1_data21_1	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	47	0	0	0	0	0	0	0	0	0	0
model1_data21_2	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	49	0	0	0	0	0	0	0	0	0	0
model1_data21_3	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	51	0	0	0	0	0	0	0	0	0	0
model1_data21_4	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	53	0	0	0	0	0	0	0	0	0	0
model1_data21_5	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0	0
model1_data22	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0	0	0	0	0
model1_data22_1	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	56	0	0	0	0	0	0	0	0	0	0
model1_data22_2	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	57	0	0	0	0	0	0	0	0	0	0
model1_data22_3	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	58	0	0	0	0	0	0	0	0	0	0
model1_data23	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	59	0	0	0	0	0	0	0	0	0	0
model1_data24	JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl	0	0	0	0	0	0	0	0	0	0	10	60	0	0	0	0	0	0	0	0	0	0
model1_data25	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
model1_data25_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0	0	0	0	0
model1_data25_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
model1_data25_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
model1_data25_4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
model1_data25_5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0
model1_data25_6	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0
model1_data25_7	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0
model1_data25_8	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0
model1_data25_9	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0
model1_data26	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0
model1_data26_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0
model1_data26_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	0
model1_data26_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0
model1_data26_4	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	0	0
model1_data26_5	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0
model1_data26_6	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	42	0	0	0	0	0	0
model1_data26_7	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	44	0	0	0	0	0	0
model1_data27	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	0	0	0	0	0
model1_data27_1	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0
model1_data27_2	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	0	0	0	0	0
model1_data27_3	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk	10	60	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	0	0	0	0	0
